id,marque,modele,titre,prix,cote_argus,km,annee,ville,distance,url,img_url,options,carburant,boite,couleur,chevaux,status,source,temps,lien_annonce,description,date_scrape
lbc-3107797121,Audi,Tt,AUDI TT Roadster 2.0 TFSI 200 BV S-tronic S-Line,8490,9339,214000km,2008,Caen,10,,https://img.leboncoin.fr/api/v1/lbcpb1/images/90/13/14/90131426ff85439ad774337a9c14ab0bbaf4f058.jpg?rule=ad-large,Voir description,Essence,Automatique,N/C,12,Clean,LeBonCoin,1h,https://www.leboncoin.fr/ad/voitures/3107797121,"AUDI TT Roadster 2.0 TFSI 200 BV S-tronic  S-Line, cabriolet, noir, 12 cv, 2 portes, première mise en circulation le 01/01/2008.  Prix TTC : 8 490 €  2 places  Emission de CO2 : 186 g CO2/km Consommation mixte : 7.8 L/100 Consommation sur route : 6.1 L/100 Consommation en ville : 10.8 L/100 Kilométrage compteur  OPTIONS ET ÉQUIPEMENTS : Conduite :   - Châssis ?Sport?   - Châssis Sport S line   - EDS (blocage électronique de différentiel)   - Régulateur de vitesse  Extérieur :   - 3ème feu stop arrière   - Aide au stationnement arrière   - Filet anti-remous électrique   - Sortie d'échappement double à gauche  Intérieur :   - Boîte à gants côté passager, verrouillable, avec éclairage et étui à lunettes   - Cendrier et allume-cigares sur la console centrale   - Direction assistée électromécan",2025-12-14
lbc-3106346659,Audi,Q3,Audi Q3 Sportback 35 TDI 150 ch S tronic 7 S line plus,48657,53522,11km,2025,Oberhoffen-sur-Moder,10,,https://img.leboncoin.fr/api/v1/lbcpb1/images/f5/b6/02/f5b602776c38bcc7fd05eb15cead266895ca5f88.jpg?rule=ad-large,Voir description,Diesel,Automatique,N/C,8,Clean,LeBonCoin,19h,https://www.leboncoin.fr/ad/voitures/3106346659,"Audi Q3 Sportback 35 TDI 150 ch S tronic 7 S line plus crossover, suv, gris, 8 cv, 5 portes, première mise en circulation le 30/09/2025, garantie 21 mois.  5 places  OPTIONS ET ÉQUIPEMENTS : Audio - Télécommunications :   -  Appel d'urgence Audi connect   -  Audi Connect Navigation et Divertissement Plus   -  Audi Connect sécurité et assistance en ligne   -  Audi Smartphone Interface   -  MMI Radio Plus avec MMI Touch   - Bluetooth   - radio numérique  Conduite :   -  Audi Drive Select   -  Audi Hold Assist   - Assistant de maintien de vitesse adaptatif : option incluse (valeur : 490 Eur TTC)   - châssis sport   - détecteur de pluie  Extérieur :   -  Hayon de coffre à ouverture et fermeture électrique   -  Pack S line extérieur - Pare-chocs S line   -  vitres de portières AR et vitres laté",2025-12-14
lbc-3105400105,Audi,A1,AUDI A1 Sportback 35 TFSI 150 ch BVM6 Design Luxe,17566,19322,105314km,2019,Champagne-au-Mont-d'Or,10,,https://img.leboncoin.fr/api/v1/lbcpb1/images/18/9e/47/189e477424b3abfd098f3da3b2041ce064f20d5f.jpg?rule=ad-large,Voir description,Essence,Manuelle,N/C,8,Clean,LeBonCoin,11h,https://www.leboncoin.fr/ad/voitures/3105400105,"AUDI A1 Sportback 35 TFSI 150 ch BVM6 Design Luxe, berline, gris, 8 cv, 5 portes, première mise en circulation le 12/06/2019, garantie : 12 mois.  Prix TTC : 17 566 €  5 places, couleur intérieur : Noir  OPTIONS ET ÉQUIPEMENTS : Audio - Télécommunications :   - Appel d'urgence Audi connect   - Audi Smartphone Interface   - Interface Bluetooth   - MMI Radio plus  Conduite :   - Audi Drive Select   - Clé confort   - Détecteur de pluie et de luminosité   - Limiteur de vitesse   - Régulateur de vitesse   - Système Start & Stop  Extérieur :   - Assistant de feux de route   - Audi Parking System Plus   - Caméra de recul   - Rétroviseurs extérieurs réglables, dégivrants et rabattables électriquement  Intérieur :   - Accoudoir central AV   - Accoudoirs de portières en simili-cuir   - Climatisation",2025-12-14
lbc-3105216101,Audi,Autres,Audi RS Q3 Sportback TFSi Quattro S tronic7 400 cv,78990,86889,48000km,2023,Rueil-Malmaison,10,,https://img.leboncoin.fr/api/v1/lbcpb1/images/d6/4f/51/d64f5124ffe3a57fc51eeb696668928c0c1fb33e.jpg?rule=ad-large,Voir description,Essence,Automatique,N/C,28,Clean,LeBonCoin,15h,https://www.leboncoin.fr/ad/voitures/3105216101,"Audi RS Q3 Sportback TFSi Quattro S tronic7 400 cv, 4x4, suv, noir, 28 cv, première mise en circulation le 11/08/2023.  𝗞𝗜𝗟𝗢𝗠𝗘𝗧𝗥𝗔𝗚𝗘 𝗚𝗔𝗥𝗔𝗡𝗧𝗜𝗘 & 𝗖𝗘𝗥𝗧𝗜𝗙𝗜𝗘 SANS ACCIDENT  🔧 VÉHICULE ENTRETENU   ✅ REPRISE POSSIBLE  ❌ AUCUN ÉCHANGE  📲 Pour plus de réactivité n’hésitez pas à nous contacter de préférence par téléphone.  TOIT OUVRANT PANORAMIQUE - CAMERA DE RECUL - PACK RS DESIGN PLUS ROUGE - DETECTEUR ANGLE MORT - OUVERTURE FERMETURE DÉMARRAGE SANS CLE - SURPIQURE ROUGE ET VOLANT ALCANTARA  MEPLAT  - HAYON ELECTRIQUE - PHARES MATRIX LED IQ LIGHT - CARPLAY - SIEGE ELECTRIQUE A MEMOIRE...  Extérieur et Chassis :          Châssis Sport RS         Aide parking         Attelage  Intérieur :          Ciel de pavillon en tissu Noir         Interface Bluetooth         Hayon assisté électriquement pour l'o",2025-12-14
lbc-3102501426,Audi,Autres,Audi RS3 Sportback 2.5 TFSI 400CH S tronic 7 Quattro - Toit Ouvrant Malus Inclus,70990,78089,12500km,2021,Montrabé,10,,https://img.leboncoin.fr/api/v1/lbcpb1/images/7f/7a/ac/7f7aac6268a7f1d7d53dc54441222fed3c5405b5.jpg?rule=ad-large,Voir description,Essence,Automatique,N/C,28,Clean,LeBonCoin,3h,https://www.leboncoin.fr/ad/voitures/3102501426,"Audi RS3 Sportback 2.5 TFSI 400CH S tronic 7 Quattro - Toit Ouvrant Malus Inclus berline, vert, 28 cv, 5 portes, première mise en circulation le 21/12/2021, garantie 3 mois.  Audi RS3 sportback 2.5 TFSI 400CH S Tronic 7 Quattro - Toit Ouvrant - Malus Inclus, Vert, Berline, date de mise en circulation (b) 21/12/2021, Nombre de places 5                                              COMMENTAIRE :                         - Malus Inclus dans le prix - Système Audio Bang & Olufsen - Faible kilométrage et état irréprochable - Moteur 5 cylindres 400CH - Équipement haut de gamme (Virtual Cockpit, CarPlay, sièges sport, …) -Aides à la conduite complètes (caméra de recul, radars AV/AR, régulateur, …) ------------------- - Extension de garantie possible jusqu'à 60 mois - Financement jusqu'à 72 mois ave",2025-12-14
lbc-3101856271,Audi,S4,AUDI S4 AVANT V6 3.0 TFSI 333 Quattro S Tronic / CHAINE DE DISTRIBUTION REMPLACÉE /,24990,27489,152000km,2012,Libourne,10,,https://img.leboncoin.fr/api/v1/lbcpb1/images/cd/a4/8f/cda48ffb5f096cadaa8364a37ee8f9c9284e9a7e.jpg?rule=ad-large,Voir description,Essence,Automatique,N/C,23,Clean,LeBonCoin,16h,https://www.leboncoin.fr/ad/voitures/3101856271,"AUDI S4 AVANT V6 3.0 TFSI 333 Quattro S Tronic / CHAINE DE DISTRIBUTION REMPLACÉE /, break, noir, 23 cv, 5 portes, première mise en circulation le 06/12/2012, garantie : 3 mois.  Prix TTC : 24 990 €  5 places  OPTIONS ET ÉQUIPEMENTS : Audio - Télécommunications :   - Lecteur CD   - Lecteur MP3  Conduite :   - 4 Roues directrices   - Allumage automatique des phares   - Différentiel à glissement limité automatique   - Détecteur pluie   - Réglage automatique des phares  Extérieur :   - Becquet arrière   - Jantes/roues en alliage léger 18""   - Lave-phares   - Phares Xénon   - Vitres teintées  Intérieur :   - Accoudoir arrière   - Accoudoir avant   - Cache bagages   - Climatisation automatique   - Filet de séparation   - Indicateur de température extérieur   - Levier de vitesses en cuir   - Lèv",2025-12-14
lbc-3097883389,Audi,Q2,Audi Q2 35 TFSI 150 S tronic 7 Design,23480,25828,53490km,2022,La Rochelle,10,,https://img.leboncoin.fr/api/v1/lbcpb1/images/26/3a/b7/263ab7b646d641bec534e215e19c5f4e23d2403b.jpg?rule=ad-large,Voir description,Essence,Automatique,N/C,8,Clean,LeBonCoin,17h,https://www.leboncoin.fr/ad/voitures/3097883389,"Audi Q2 35 TFSI 150 S tronic 7 Design tout-terrain, noir, 8 cv, 5 portes, première mise en circulation le 12/05/2022, garantie 6 mois.  5 places  OPTIONS ET ÉQUIPEMENTS : Audio - Télécommunications :   -  Audi Music Interface   -  Audi Smartphone Interface   -  Audi connect navigation et divertissement   -  Audi connect securite et assistance en ligne   -  MMI Radio Plus   -  MMI navigation avec MMI touch   -  Pack connectivity   - Bluetooth   - radio numérique  Conduite :   -  Audi Drive Select   -  Audi Hold Assist   - détecteur de pluie   - limiteur de vitesse   - régulateur de vitesse  Extérieur :   -  Audi Parking System : signal acoustique d'aide au stationnement AR   -  Pack assistance stationnement   -  Phares entierement a LED   -  Projecteurs AV a LED   -  Retroviseurs exterieurs",2025-12-14
lbc-3097696278,Audi,Q7,Audi Q7 II 55 TFSI 340 Mild Hybrid Quattro Tiptronic 8 S Line,35990,39589,153664km,2021,Reims,10,,https://img.leboncoin.fr/api/v1/lbcpb1/images/95/db/43/95db43c77f057a4d4ae84ec2d951ea284af799b1.jpg?rule=ad-large,Voir description,Hybride,Automatique,N/C,22,Clean,LeBonCoin,5h,https://www.leboncoin.fr/ad/voitures/3097696278,"Audi Q7 II 55 TFSI 340 Mild Hybrid Quattro Tiptronic 8 S Line tout-terrain, noir, 22 cv, 5 portes, couleur intérieure : noir, première mise en circulation le 25/02/2021, première main, garantie 6 mois.  Prix hors frais de dossier de 299€ TTC et hors carte grise.  —  Visite virtuelle du véhicule sur le site CapCar. Garantie 6 mois incluse. Paiement sécurisé. Service Carte Grise. Service livraison.  —  Merci de contacter notre agent pour plus d'informations sur le véhicule.  7 places  OPTIONS ET ÉQUIPEMENTS : Audio - Télécommunications :   -  - AUDI PHONE BOX   - Bluetooth   - GPS   - Prise audio usb   - auto-radio   - compatible Android Auto   - compatible Apple CarPlay  Conduite :   -  - 4 ROUES DIRECTIONNELLES   -  - ACCES CONFORT   -  - SUSPENSIONS PNEUMATIQUES.   - limiteur de vitesse  ",2025-12-14
lbc-3097117265,Audi,A3,Audi A3 Sportback (3) 1.6 TDI DPF 110 Ambition,7990,8789,225212km,2014,Saint-Brevin-les-Pins,10,,https://img.leboncoin.fr/api/v1/lbcpb1/images/da/58/2b/da582b70fe2a35f3de019a22421d47d6be865a8d.jpg?rule=ad-large,Voir description,Diesel,Manuelle,N/C,5,Clean,LeBonCoin,7h,https://www.leboncoin.fr/ad/voitures/3097117265,"Audi A3 Sportback (3) 1.6 TDI DPF 110 Ambition, berline, gris clair, 5 cv, 5 portes, première mise en circulation le 04/06/2014.  Prix TTC : 7 990 €  5 places  OPTIONS ET ÉQUIPEMENTS : Conduite :   -  Essuie-glaces à capteur de pluie   -  Régulateur de vitesse  Extérieur :   -  Lave-glace chauffant  Intérieur :   -  Climatisation 2 zones   -  Prise s  12V   AV   -  Rangement sous siège   passager   -  Température extérieure   -  Volant cuir. réglable en hauteur. réglable en profondeur. multi-fonctions  Pack :   -  Feux à LED   -  Réservoir principal 50 litres   - Affichage multi-fonctions  2 écrans. 5.8 pouces  Sécurité :   -  Airbag de genoux   -  Airbags rideaux latéraux AV & AR   -  Antibrouillards AV   -  Antipatinage   -  Assistance au freinage d urgence   -  ESP   -  Indicateur de so",2025-12-14
lbc-3096215202,Audi,Q5,Audi Q5 55 TFSI e 367ch S line quattro S tronic 7,38900,42790,118063km,2021,Vélizy-Villacoublay,10,,https://img.leboncoin.fr/api/v1/lbcpb1/images/c9/05/ba/c905bafb5f59836ecbba1bdf5b2f641fbe24bb65.jpg?rule=ad-large,Voir description,Hybride Rechargeable,Automatique,N/C,16,Clean,LeBonCoin,8h,https://www.leboncoin.fr/ad/voitures/3096215202,"Audi Q5 55 TFSI e 367ch S line quattro S tronic 7, (S.U.V.), Gris Daytona nacré, 16cv, 5 portes, mise en circulation le 24-08-2021, première main, garantie 12 mois (Garantie:FLEX 12 mois).  5 places, longueur : 4,68 mètres, poids en charge 2660 Kg, boîte de vitesse : automatique  OPTIONS ET EQUIPEMENTS : Audio - Télécommunications - 10 Haut parleurs - Appel d'Assistance Localisé - Appel d'Urgence Localisé - Bang & Olufsen sound system avc son 3D - Commandes du système audio au volant - Commandes vocales - Ecran tactile - GPS Cartographique - Interface Media - Kit mains-libres Bluetooth - Prise USB - Prise auxiliaire de connexion audio - Radio - Radio numérique DAB - Services connectés - Système Hi-Fi Surround - TMC  Conduite - Aide au démarrage en côte - Arrêt et redémarrage auto. du moteu",2025-12-14
